e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,2.30,4.77,7.65,10.02,11.39,12.01,14.21,18.37,24.61,32.11,37.47,40.70,42.22,43.36,43.41,42.12,39.70,36.59,33.95,31.29,28.13,24.12,19.69,15.90,12.47,9.80,9.19,8.58,8.01,7.45,6.86,6.35,5.78,5.37,5.32,5.71,6.17,6.63,7.07,7.43,7.52,7.43,7.27,7.12,6.97,6.75,6.56,6.41,6.26,6.16,6.24,6.59,7.29,7.99,8.68,9.34,10.67,14.73,18.00,19.73,20.31,20.66,21.00,21.12,21.12,21.16,21.34,21.38,21.33,21.27,21.34,21.82,22.46,23.16,23.86,24.49,25.10,25.64,26.04,26.39,26.80,27.34,28.13,29.57,31.91,34.69,37.67,40.94,45.05,49.16,53.25,57.44,62.04,66.95,72.59,78.45,83.66,88.60,94.07,98.25,99.82,99.69,97.60,94.53,91.05,87.55,83.79,78.60,73.04,68.57,65.93,63.34,61.46,60.72,61.00,61.55,61.88,61.93,61.68,60.76,59.49,58.07,57.00,57.73,59.37,61.34,63.43,65.36,65.74,65.66,65.21,64.34,64.04,64.06,64.33,65.02,66.53,67.94,69.04,70.31,72.44,74.02,75.68,77.14,77.97,77.84,75.64,72.07,67.93,64.43,60.89,57.09,53.58,51.27,50.67,50.99,51.65,52.45,53.29,53.52,53.36,52.88,52.00,51.08,49.81,47.64,44.63,42.95,41.18,38.89,36.09,33.11,30.35,27.52,24.63,21.91,20.10,19.76,19.72,19.49,19.27,19.09,19.06
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,1.96,4.05,6.49,7.90,6.08,7.35,10.46,15.20,21.63,28.59,34.07,37.96,40.37,41.99,42.86,42.29,40.48,38.00,35.49,32.95,30.00,26.14,21.38,17.37,13.73,10.74,9.51,8.82,8.27,7.70,7.09,6.54,5.92,5.42,5.22,5.47,5.90,6.36,6.79,7.05,7.00,6.86,6.70,6.55,6.40,6.18,6.08,6.12,6.19,6.26,6.50,6.90,7.43,8.06,8.75,9.52,11.15,15.63,18.92,20.55,21.09,21.47,21.89,22.14,22.29,22.45,22.63,22.74,22.81,22.77,22.39,22.60,23.13,23.80,24.48,25.04,25.55,25.99,26.34,26.68,27.03,27.45,28.02,29.00,30.69,33.27,36.34,39.73,43.65,47.69,51.76,55.91,60.32,65.22,70.68,76.35,81.69,86.39,91.27,95.07,96.95,97.87,96.69,94.18,91.02,87.86,84.26,79.61,74.53,69.91,66.86,63.92,61.44,59.90,59.70,59.78,59.88,59.95,59.94,59.37,58.44,57.28,56.35,57.04,58.55,60.33,62.13,63.57,63.73,63.42,62.80,61.81,60.92,60.99,61.81,63.35,65.61,67.83,70.05,72.46,75.16,77.20,78.66,79.60,79.91,79.35,75.29,70.63,66.50,62.88,59.13,55.13,51.55,49.33,48.42,49.21,50.39,51.40,52.27,52.72,52.75,52.48,51.97,51.20,50.28,48.66,46.17,44.33,42.41,40.10,37.34,34.15,30.99,27.89,24.85,22.02,20.15,19.67,19.60,19.48,19.33,19.27,19.31
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,2.02,4.44,8.26,13.40,19.66,25.63,30.59,34.78,38.12,40.29,41.89,42.17,41.20,39.28,37.02,34.58,31.75,28.09,23.07,18.76,15.01,11.85,9.87,9.05,8.50,7.93,7.31,6.69,5.98,5.42,5.19,5.26,5.64,6.09,6.47,6.63,6.46,6.29,6.14,6.03,5.93,5.79,5.81,6.07,6.36,6.60,6.92,7.27,7.63,8.18,8.83,9.77,11.73,16.28,19.32,20.83,21.41,21.89,22.35,22.74,23.08,23.39,23.63,23.84,24.04,24.10,23.58,23.45,23.80,24.42,25.05,25.53,25.93,26.29,26.62,26.98,27.32,27.67,28.05,28.52,29.54,31.96,35.25,38.91,42.72,46.71,50.75,54.82,59.04,63.97,69.17,74.46,79.59,83.83,88.07,91.50,93.64,95.63,95.74,94.09,91.39,88.67,85.23,81.20,76.69,71.95,68.32,65.17,62.35,60.18,59.41,58.88,58.58,58.50,58.52,58.20,57.49,56.53,55.73,56.34,57.76,59.36,60.81,61.72,61.76,61.22,60.38,59.31,57.84,57.94,59.42,61.95,64.63,67.27,70.44,73.92,77.07,79.49,80.57,80.82,80.45,79.14,73.78,68.61,64.79,61.13,57.25,53.25,49.84,47.77,46.43,47.59,49.30,50.56,51.36,51.86,51.96,51.83,51.66,51.10,50.38,49.17,47.24,45.15,43.02,40.68,37.94,34.59,31.19,28.00,24.96,22.14,20.30,19.67,19.52,19.49,19.44,19.49,19.57
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,4.35,8.01,13.48,18.90,23.36,27.61,31.51,34.90,37.94,40.35,41.69,41.75,40.27,38.59,36.29,33.38,29.68,24.80,20.16,16.18,12.90,10.24,9.26,8.66,8.05,7.44,6.82,5.93,5.38,5.34,5.08,5.39,5.78,6.06,6.08,5.89,5.71,5.62,5.67,5.85,5.99,6.20,6.50,6.80,7.04,7.33,7.65,7.98,8.41,8.99,10.13,12.45,16.73,19.46,20.65,20.94,21.26,21.65,22.14,22.64,23.10,23.64,24.08,24.55,24.97,24.86,24.37,24.47,25.00,25.45,25.87,26.21,26.56,26.92,27.25,27.61,27.96,28.29,28.64,29.24,31.52,34.86,38.59,42.53,46.63,50.61,54.41,58.32,63.14,68.38,73.37,77.31,80.43,84.47,88.52,91.68,93.62,94.77,94.11,92.07,90.05,87.13,83.53,79.49,75.11,70.78,67.32,64.34,61.94,60.69,59.62,58.71,57.96,57.45,57.10,56.45,55.58,54.91,55.57,56.96,58.26,59.20,59.75,59.77,59.03,57.77,56.20,54.61,55.01,57.30,60.88,63.94,66.97,70.27,73.78,77.11,79.47,80.25,80.02,78.80,75.67,70.80,66.36,62.76,59.10,55.21,51.61,48.68,46.72,44.99,46.03,48.02,49.84,50.70,51.13,51.20,51.05,50.89,50.57,49.79,48.55,46.86,44.95,42.93,40.66,37.91,34.33,30.84,27.73,24.78,21.96,20.18,19.69,19.60,19.52,19.55,19.62,19.73
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,3.95,6.83,11.54,16.20,19.73,23.34,27.12,31.02,34.89,38.09,40.32,41.38,40.82,39.73,37.63,34.71,30.92,26.14,21.18,17.00,13.71,10.73,9.51,8.80,8.16,7.46,6.65,5.82,5.45,5.55,5.16,5.24,5.46,5.61,5.58,5.56,5.56,5.62,5.82,6.11,6.36,6.63,6.94,7.24,7.49,7.77,8.07,8.39,8.71,9.18,10.38,12.84,16.64,19.01,20.00,20.20,20.45,20.84,21.37,21.92,22.41,22.93,23.33,23.85,24.64,25.61,25.37,25.25,25.42,25.70,26.10,26.46,26.82,27.20,27.51,27.88,28.23,28.54,28.88,29.28,31.46,34.75,38.35,42.16,46.10,49.90,53.52,57.31,61.77,66.76,71.34,74.24,76.63,80.39,84.75,88.80,91.59,93.25,93.42,92.37,90.71,88.22,85.07,81.51,77.53,72.71,68.98,66.06,63.80,62.16,60.63,59.24,58.04,57.10,56.48,55.78,54.90,54.14,54.63,55.68,56.60,57.20,57.47,57.35,56.39,54.85,53.11,51.86,52.45,55.33,59.89,63.28,66.36,69.52,72.77,75.83,77.65,77.86,77.07,75.29,71.76,67.67,63.75,60.08,56.30,52.76,49.79,47.35,45.37,43.48,44.23,46.20,48.34,49.61,50.11,50.13,49.91,49.55,49.12,48.28,47.09,45.60,43.92,42.19,39.96,37.03,33.47,30.18,27.31,24.64,22.05,20.23,19.78,19.72,19.63,19.61,19.72,20.11
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,3.37,5.28,8.46,12.17,15.13,18.24,22.01,26.59,31.38,35.37,38.37,40.34,40.94,40.43,38.61,35.73,31.86,27.17,21.95,17.63,14.37,11.29,9.76,8.89,8.19,7.35,6.25,5.69,5.63,5.81,5.40,5.20,5.18,5.21,5.19,5.41,5.65,5.89,6.18,6.49,6.75,7.02,7.32,7.62,7.87,8.14,8.45,8.75,9.00,9.36,10.49,12.85,16.08,18.02,18.88,19.11,19.39,19.86,20.42,20.99,21.48,21.77,22.02,22.46,23.54,25.78,26.29,26.08,25.82,25.94,26.30,26.65,27.01,27.39,27.71,28.09,28.44,28.77,29.14,29.48,31.51,34.59,37.93,41.42,45.05,48.56,51.95,55.62,59.65,64.16,68.20,70.44,72.54,76.06,80.53,85.38,89.38,91.37,92.27,92.25,90.77,88.64,85.88,82.78,79.23,74.07,70.14,67.39,65.46,63.52,61.60,59.88,58.42,57.30,56.41,55.59,54.61,53.62,53.69,54.13,54.60,54.96,55.01,54.68,53.56,51.95,50.33,49.62,50.30,53.51,58.77,62.45,65.36,68.16,71.02,73.61,74.67,74.15,72.77,70.73,67.69,64.33,60.68,56.83,53.07,50.13,47.88,45.88,43.83,41.86,42.29,44.03,46.29,48.06,48.67,48.69,48.38,47.77,47.05,46.17,45.09,43.77,42.28,40.80,38.57,35.52,32.20,29.35,26.89,24.62,22.41,20.55,20.00,19.91,19.82,19.70,19.84,20.59
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,5.02,5.80,7.45,9.79,12.94,16.72,21.40,27.53,32.47,36.16,38.77,40.18,40.28,38.86,36.16,32.23,27.80,22.60,18.24,14.94,11.79,9.96,8.83,7.90,6.85,5.65,5.74,6.11,6.08,5.65,5.35,5.16,5.07,5.13,5.39,5.69,5.96,6.23,6.54,6.82,7.09,7.36,7.66,7.91,8.18,8.50,8.79,9.04,9.38,10.25,12.01,14.68,16.13,16.80,17.09,17.48,18.23,19.08,19.80,20.26,20.55,20.76,21.14,22.17,24.67,26.55,26.97,26.62,26.55,26.59,26.66,26.88,27.30,27.67,28.05,28.43,28.80,29.17,29.54,31.00,33.43,36.53,39.58,42.80,45.83,48.58,51.52,55.53,59.23,62.45,65.42,68.21,71.81,76.54,82.13,86.44,89.31,90.85,91.15,90.10,88.15,85.52,82.71,79.64,74.37,70.39,67.80,66.09,63.88,61.73,59.95,58.72,58.17,57.52,56.63,55.48,54.17,53.21,52.64,52.49,52.59,52.52,51.97,51.06,50.00,49.00,48.50,49.24,52.09,56.76,60.69,63.28,65.51,67.89,70.42,71.06,69.70,67.86,66.22,63.76,60.19,56.30,52.69,50.07,47.84,46.02,44.26,42.22,40.09,40.23,41.75,43.88,45.50,46.11,46.23,46.00,45.36,44.56,43.67,42.69,41.56,40.06,38.05,35.74,33.24,30.66,28.62,26.77,25.00,23.27,21.61,20.68,20.27,20.18,20.04,20.11,20.92
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,4.40,4.47,4.82,5.65,8.42,12.25,17.04,23.66,29.89,34.30,37.09,38.84,39.65,38.48,35.81,32.08,28.03,23.04,18.72,15.36,12.17,9.98,8.55,7.45,6.31,5.47,6.05,6.60,6.35,5.93,5.62,5.36,5.17,5.16,5.29,5.55,5.83,6.08,6.38,6.69,6.96,7.21,7.51,7.75,8.05,8.38,8.70,8.96,9.30,9.90,11.05,13.06,14.10,14.62,15.00,15.54,16.32,17.10,17.72,18.12,18.46,18.86,19.48,20.64,22.95,25.55,27.07,27.53,27.32,27.17,27.07,27.13,27.41,27.64,27.93,28.27,28.60,28.85,29.13,30.10,31.90,34.58,37.34,40.16,42.76,45.12,47.67,51.42,54.77,57.88,61.58,64.98,68.66,73.45,79.19,83.18,86.38,88.29,88.85,88.26,87.00,84.88,82.45,79.69,74.57,70.72,68.25,66.60,64.39,62.22,60.50,59.45,59.27,58.79,57.78,56.44,54.84,53.13,51.78,51.07,50.87,50.67,50.08,49.44,48.89,48.40,47.85,48.39,50.52,54.18,57.99,60.29,61.92,63.53,65.33,65.50,63.95,62.11,60.61,58.30,55.02,51.50,48.47,46.90,45.42,43.98,42.43,40.55,38.35,38.44,39.73,41.45,42.82,43.48,43.67,43.48,42.79,41.78,40.66,39.52,38.30,36.72,34.69,32.80,31.19,29.59,28.40,27.13,25.74,24.24,22.72,21.53,20.89,20.78,20.63,20.57,21.20
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,2.64,4.99,8.77,13.74,20.01,27.66,32.79,35.34,37.00,38.56,37.50,34.80,31.43,27.86,23.24,19.04,15.62,12.43,9.81,8.09,6.86,5.83,5.75,6.59,7.04,6.63,6.25,5.98,5.74,5.50,5.25,5.11,5.26,5.52,5.76,6.06,6.37,6.64,6.89,7.20,7.45,7.77,8.14,8.50,8.81,9.13,9.50,10.13,11.36,12.06,12.52,12.96,13.64,14.16,14.49,14.76,15.08,15.49,16.32,17.49,18.98,20.82,23.33,26.24,28.32,28.14,28.04,27.91,27.80,27.75,27.65,27.72,27.94,28.15,28.13,28.25,28.89,30.15,32.20,34.81,37.23,39.53,41.86,44.45,47.73,51.28,55.11,59.31,63.13,66.89,71.47,76.70,79.86,82.64,84.54,85.36,85.23,85.16,83.98,82.06,79.49,74.80,71.28,68.91,67.23,65.29,63.34,61.76,60.78,60.57,60.02,58.83,57.25,55.42,53.36,51.58,50.45,49.93,49.66,49.22,48.88,48.67,48.46,47.66,47.63,48.73,51.11,54.44,56.49,57.56,58.13,58.53,58.16,57.04,55.63,53.99,51.42,49.00,46.53,44.37,43.52,42.76,41.68,40.35,38.80,36.69,36.91,37.98,39.11,40.20,40.94,41.16,40.90,40.09,38.69,37.15,35.63,34.12,32.53,31.09,30.12,29.57,29.06,28.62,27.86,26.73,25.26,23.80,22.51,21.76,21.61,21.45,21.21,21.46
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,2.00,3.71,6.21,11.32,17.95,25.41,30.55,33.33,35.09,36.88,36.41,34.15,30.74,27.17,23.07,19.20,15.78,12.61,9.76,7.73,6.34,5.54,6.11,7.01,7.33,6.90,6.60,6.36,6.10,5.82,5.56,5.32,5.23,5.28,5.45,5.74,6.05,6.34,6.64,6.98,7.27,7.59,7.92,8.21,8.52,8.83,9.15,9.54,10.07,10.40,10.65,10.95,11.34,11.56,11.70,11.81,12.05,12.79,14.02,15.65,17.49,19.13,21.41,24.52,27.46,28.77,28.88,28.69,28.44,28.14,27.73,27.30,27.12,27.11,27.00,27.39,27.93,28.79,30.21,31.92,34.04,36.34,38.77,41.50,45.30,49.52,53.98,58.63,62.77,66.93,71.27,75.44,78.11,79.63,80.59,81.27,81.75,82.27,81.92,80.76,78.70,75.14,72.09,70.06,68.84,67.23,65.51,64.06,62.97,62.12,60.95,59.37,57.50,55.44,53.30,51.47,50.39,50.04,50.03,49.86,49.76,49.67,49.36,48.38,47.19,46.92,48.20,50.96,52.75,53.53,53.59,53.16,52.37,51.22,49.92,48.44,46.36,44.27,42.31,40.75,40.03,39.37,38.69,37.82,36.51,34.90,35.19,36.16,37.15,38.08,38.71,38.70,38.10,36.99,35.20,33.44,32.05,31.20,30.32,29.59,29.11,28.80,28.45,28.17,27.72,27.07,26.17,24.86,23.48,22.63,22.43,22.23,22.02,22.04
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,2.40,4.72,10.28,16.82,23.27,28.01,31.07,33.15,35.13,35.41,33.77,30.28,26.70,22.98,19.36,15.94,12.80,9.81,7.46,5.92,5.56,6.57,7.40,7.60,7.21,6.97,6.72,6.45,6.17,5.92,5.63,5.37,5.22,5.26,5.47,5.75,6.06,6.39,6.74,7.05,7.35,7.65,7.90,8.21,8.52,8.82,9.04,9.09,9.12,9.20,9.33,9.45,9.52,9.62,9.72,9.91,10.75,12.16,14.04,16.11,17.78,19.86,23.14,26.80,29.27,29.52,29.25,28.81,28.21,27.47,26.58,26.06,25.91,25.89,26.43,26.93,27.55,28.53,29.50,31.27,33.67,36.51,39.59,43.98,48.78,53.74,58.84,63.38,67.80,71.68,74.53,76.18,76.48,76.66,77.19,78.09,79.02,79.40,79.04,77.64,75.26,72.87,71.39,70.71,69.31,67.50,65.88,64.47,63.03,61.36,59.48,57.43,55.23,53.11,51.68,51.05,51.04,51.24,51.29,51.35,51.28,50.82,49.74,47.80,46.34,46.16,47.39,48.66,49.06,48.63,47.70,46.85,45.88,44.81,43.58,41.92,40.05,38.37,37.11,36.43,35.82,35.48,35.00,33.99,33.08,33.42,34.28,35.23,36.05,36.55,36.32,35.45,34.12,32.26,30.63,29.60,29.27,28.96,28.70,28.46,28.20,27.84,27.57,27.29,26.97,26.56,25.57,24.36,23.54,23.29,23.13,23.02,22.96
